,neighborhood,average_pm25_value
0,Allerton,2.940433076304345
1,Baychester,3.4642891171428567
2,Belmont,4.1383672262727265
3,Bronx Park,4.141386875134256
4,Bronxdale,3.7876680877642106
5,Castle Hill,6.046787483247532
6,Clason Point,5.116131462801203
7,Co-op City,4.761495619624496
8,Concourse,3.3690170919033386
9,Concourse Village,3.119019538793102
10,Country Club,5.380695034379312
11,Crotona Park,4.411791123442027
12,East Morrisania,4.7952966617990045
13,Eastchester,3.3372178235000027
14,Fieldston,3.5183301544444454
15,Flushing Meadows Corona Park,10.623927072192178
16,Fordham,3.4387959009999993
17,Highbridge,3.421612736
18,Hunts Point,4.5573901866598145
19,Inwood,2.292275858
20,Kingsbridge,3.659661875897436
21,Longwood,4.305959539787408
22,Marble Hill,3.475927091
23,Melrose,4.244752095807522
24,Morris Park,3.468037774502585
25,Morrisania,4.420954069103807
26,Mott Haven,4.234826372488386
27,North Riverdale,3.110803464754719
28,Norwood,3.4922606070038333
29,Parkchester,4.623980196424511
30,Pelham Bay,3.431326582285714
31,Pelham Bay Park,5.11718291537037
32,Pelham Gardens,3.50562682
33,Port Morris,4.434711937076748
34,Randall's Island,9.648637067635146
35,Schuylerville,4.209790786250001
36,Soundview,4.285894225910845
37,Throgs Neck,6.533467601999999
38,Tremont,5.6049510698721985
39,Unionport,4.900591665207069
40,Van Cortlandt Park,3.9450440406629297
41,Van Nest,4.1745882085578
42,Wakefield,3.309878814
43,Washington Heights,2.367734371
44,West Farms,4.722604362003354
45,Westchester Square,3.464629206
46,Williamsburg,3.187279711
47,Woodside,3.084182456
